pair_tag,horizon,fold_id,classifier_name,classifier_params,regressor_name,regressor_params,two_stage_model_path,stage1_model_path,stage2_model_path,avg_county_rmse_expected,avg_county_rmse_hard_gate,overall_rmse_expected,overall_mae_expected,zero_baseline_rmse,zero_baseline_avg_county_rmse,stage1_roc_auc,stage1_average_precision,stage1_brier_score,stage1_log_loss,stage1_precision,stage1_recall,stage1_f1,stage1_tn,stage1_fp,stage1_fn,stage1_tp,stage2_positive_rows_train,stage2_positive_rows_valid,stage2_positive_rmse,stage2_positive_mae,stage2_fallback_only
h24__clf_xgbc01__reg_xgbr01,24,1,xgb_classifier,"{""n_estimators"": 150, ""learning_rate"": 0.08, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",xgb_regressor,"{""n_estimators"": 200, ""learning_rate"": 0.06, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",results/run_20260418_235229/models/pair_h24__clf_xgbc01__reg_xgbr01_f01_two_stage.joblib,results/run_20260418_235229/models/pair_h24__clf_xgbc01__reg_xgbr01_f01_stage1_classifier.joblib,results/run_20260418_235229/models/pair_h24__clf_xgbc01__reg_xgbr01_f01_stage2_regressor.joblib,49.73619093551396,49.6236992838222,115.19833452469557,17.748711418248263,118.67785696978085,51.58352361690991,0.9085176756031805,0.8328133477117163,0.10418403958213333,0.33528560535312424,0.7537878787878788,0.7069271758436945,0.7296058661778185,1299,130,165,398,128319,563,216.13647755041015,60.22277096999051,False
h24__clf_logen01__reg_xgbr01,24,1,logistic_enet,"{""C"": 0.5, ""l1_ratio"": 0.15, ""class_weight"": ""balanced"", ""max_iter"": 250}",xgb_regressor,"{""n_estimators"": 200, ""learning_rate"": 0.06, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",results/run_20260418_235229/models/pair_h24__clf_logen01__reg_xgbr01_f01_two_stage.joblib,results/run_20260418_235229/models/pair_h24__clf_logen01__reg_xgbr01_f01_stage1_classifier.joblib,results/run_20260418_235229/models/pair_h24__clf_logen01__reg_xgbr01_f01_stage2_regressor.joblib,49.90831443618457,49.7687587685286,115.10195498455117,18.222385730481918,118.67785696978085,51.58352361690991,0.8930091842784642,0.7981309187532027,0.13658560698607036,0.42792781129453705,0.6329639889196675,0.8117229129662522,0.711284046692607,1164,265,106,457,128319,563,216.13647755041015,60.22277096999051,False
h24__clf_xgbc01__reg_enet01,24,1,xgb_classifier,"{""n_estimators"": 150, ""learning_rate"": 0.08, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",elasticnet_regression,"{""alpha"": 0.0005, ""l1_ratio"": 0.1, ""max_iter"": 4000}",results/run_20260418_235229/models/pair_h24__clf_xgbc01__reg_enet01_f01_two_stage.joblib,results/run_20260418_235229/models/pair_h24__clf_xgbc01__reg_enet01_f01_stage1_classifier.joblib,results/run_20260418_235229/models/pair_h24__clf_xgbc01__reg_enet01_f01_stage2_regressor.joblib,50.453677561413066,50.17788453017185,115.27941737312497,20.960474583914955,118.67785696978085,51.58352361690991,0.9085176756031805,0.8328133477117163,0.10418403958213333,0.33528560535312424,0.7537878787878788,0.7069271758436945,0.7296058661778185,1299,130,165,398,128319,563,216.17978654111033,70.64307967023065,False
h24__clf_logen01__reg_enet01,24,1,logistic_enet,"{""C"": 0.5, ""l1_ratio"": 0.15, ""class_weight"": ""balanced"", ""max_iter"": 250}",elasticnet_regression,"{""alpha"": 0.0005, ""l1_ratio"": 0.1, ""max_iter"": 4000}",results/run_20260418_235229/models/pair_h24__clf_logen01__reg_enet01_f01_two_stage.joblib,results/run_20260418_235229/models/pair_h24__clf_logen01__reg_enet01_f01_stage1_classifier.joblib,results/run_20260418_235229/models/pair_h24__clf_logen01__reg_enet01_f01_stage2_regressor.joblib,51.06839231134588,50.51095513142124,115.21837792175798,21.96455676653341,118.67785696978085,51.58352361690991,0.8930091842784642,0.7981309187532027,0.13658560698607036,0.42792781129453705,0.6329639889196675,0.8117229129662522,0.711284046692607,1164,265,106,457,128319,563,216.17978654111033,70.64307967023065,False
h24__clf_logen01__reg_xgbr01,24,2,logistic_enet,"{""C"": 0.5, ""l1_ratio"": 0.15, ""class_weight"": ""balanced"", ""max_iter"": 250}",xgb_regressor,"{""n_estimators"": 200, ""learning_rate"": 0.06, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",results/run_20260418_235229/models/pair_h24__clf_logen01__reg_xgbr01_f02_two_stage.joblib,results/run_20260418_235229/models/pair_h24__clf_logen01__reg_xgbr01_f02_stage1_classifier.joblib,results/run_20260418_235229/models/pair_h24__clf_logen01__reg_xgbr01_f02_stage2_regressor.joblib,70.89102292890244,71.04341193343386,181.99282899398182,32.15432922838214,208.41796273055502,75.63988735537112,0.8428540500417531,0.7756708491584404,0.15080039518721675,0.44829817769213404,0.6394658753709199,0.6620583717357911,0.6505660377358491,1098,243,220,431,139847,651,316.48716108162506,93.94384670990037,False
h24__clf_logen01__reg_enet01,24,2,logistic_enet,"{""C"": 0.5, ""l1_ratio"": 0.15, ""class_weight"": ""balanced"", ""max_iter"": 250}",elasticnet_regression,"{""alpha"": 0.0005, ""l1_ratio"": 0.1, ""max_iter"": 4000}",results/run_20260418_235229/models/pair_h24__clf_logen01__reg_enet01_f02_two_stage.joblib,results/run_20260418_235229/models/pair_h24__clf_logen01__reg_enet01_f02_stage1_classifier.joblib,results/run_20260418_235229/models/pair_h24__clf_logen01__reg_enet01_f02_stage2_regressor.joblib,71.14120265810693,71.089349132665,182.10970332373915,32.567462416373786,208.41796273055502,75.63988735537112,0.8428540500417531,0.7756708491584404,0.15080039518721675,0.44829817769213404,0.6394658753709199,0.6620583717357911,0.6505660377358491,1098,243,220,431,139847,651,317.66364171482786,94.60650233923168,False
h24__clf_xgbc01__reg_xgbr01,24,2,xgb_classifier,"{""n_estimators"": 150, ""learning_rate"": 0.08, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",xgb_regressor,"{""n_estimators"": 200, ""learning_rate"": 0.06, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",results/run_20260418_235229/models/pair_h24__clf_xgbc01__reg_xgbr01_f02_two_stage.joblib,results/run_20260418_235229/models/pair_h24__clf_xgbc01__reg_xgbr01_f02_stage1_classifier.joblib,results/run_20260418_235229/models/pair_h24__clf_xgbc01__reg_xgbr01_f02_stage2_regressor.joblib,72.14778719957496,70.48220630529956,191.9535403084921,32.96294444506187,208.41796273055502,75.63988735537112,0.8545254189332995,0.7798361565049715,0.17225236129482044,0.5254762247736929,0.9305555555555556,0.3087557603686636,0.46366782006920415,1326,15,450,201,139847,651,316.48716108162506,93.94384670990037,False
h24__clf_xgbc01__reg_enet01,24,2,xgb_classifier,"{""n_estimators"": 150, ""learning_rate"": 0.08, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",elasticnet_regression,"{""alpha"": 0.0005, ""l1_ratio"": 0.1, ""max_iter"": 4000}",results/run_20260418_235229/models/pair_h24__clf_xgbc01__reg_enet01_f02_two_stage.joblib,results/run_20260418_235229/models/pair_h24__clf_xgbc01__reg_enet01_f02_stage1_classifier.joblib,results/run_20260418_235229/models/pair_h24__clf_xgbc01__reg_enet01_f02_stage2_regressor.joblib,72.97637842631305,70.48425920305715,192.5506545779512,33.73961159859466,208.41796273055502,75.63988735537112,0.8545254189332995,0.7798361565049715,0.17225236129482044,0.5254762247736929,0.9305555555555556,0.3087557603686636,0.46366782006920415,1326,15,450,201,139847,651,317.66364171482786,94.60650233923168,False
h48__clf_xgbc01__reg_enet01,48,1,xgb_classifier,"{""n_estimators"": 150, ""learning_rate"": 0.08, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",elasticnet_regression,"{""alpha"": 0.0005, ""l1_ratio"": 0.1, ""max_iter"": 4000}",results/run_20260418_235229/models/pair_h48__clf_xgbc01__reg_enet01_f01_two_stage.joblib,results/run_20260418_235229/models/pair_h48__clf_xgbc01__reg_enet01_f01_stage1_classifier.joblib,results/run_20260418_235229/models/pair_h48__clf_xgbc01__reg_enet01_f01_stage2_regressor.joblib,55.235883520437774,54.95582911046944,119.30634772555781,20.63292388139427,125.95828060836358,58.03736912483677,0.9032270713601531,0.8275743930317627,0.11711703254900505,0.38402970590458835,0.831002331002331,0.5941666666666666,0.6929057337220602,2639,145,487,713,257317,1200,216.6601718349851,66.91725076883546,False
h48__clf_logen01__reg_enet01,48,1,logistic_enet,"{""C"": 0.5, ""l1_ratio"": 0.15, ""class_weight"": ""balanced"", ""max_iter"": 250}",elasticnet_regression,"{""alpha"": 0.0005, ""l1_ratio"": 0.1, ""max_iter"": 4000}",results/run_20260418_235229/models/pair_h48__clf_logen01__reg_enet01_f01_two_stage.joblib,results/run_20260418_235229/models/pair_h48__clf_logen01__reg_enet01_f01_stage1_classifier.joblib,results/run_20260418_235229/models/pair_h48__clf_logen01__reg_enet01_f01_stage2_regressor.joblib,55.3803552005953,54.96610533683915,119.20318463708537,21.340556264613486,125.95828060836358,58.03736912483677,0.8924449233716476,0.801213387502588,0.1267223284358017,0.4008594597790855,0.6876971608832808,0.7266666666666667,0.706645056726094,2388,396,328,872,257317,1200,216.6601718349851,66.91725076883546,False
h48__clf_logen01__reg_xgbr01,48,1,logistic_enet,"{""C"": 0.5, ""l1_ratio"": 0.15, ""class_weight"": ""balanced"", ""max_iter"": 250}",xgb_regressor,"{""n_estimators"": 200, ""learning_rate"": 0.06, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",results/run_20260418_235229/models/pair_h48__clf_logen01__reg_xgbr01_f01_two_stage.joblib,results/run_20260418_235229/models/pair_h48__clf_logen01__reg_xgbr01_f01_stage1_classifier.joblib,results/run_20260418_235229/models/pair_h48__clf_logen01__reg_xgbr01_f01_stage2_regressor.joblib,55.66528020594843,55.47449272398628,120.49137101646001,20.737305669700994,125.95828060836358,58.03736912483677,0.8924449233716476,0.801213387502588,0.1267223284358017,0.4008594597790855,0.6876971608832808,0.7266666666666667,0.706645056726094,2388,396,328,872,257317,1200,219.0492077960399,65.2722101811568,False
h48__clf_xgbc01__reg_xgbr01,48,1,xgb_classifier,"{""n_estimators"": 150, ""learning_rate"": 0.08, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",xgb_regressor,"{""n_estimators"": 200, ""learning_rate"": 0.06, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",results/run_20260418_235229/models/pair_h48__clf_xgbc01__reg_xgbr01_f01_two_stage.joblib,results/run_20260418_235229/models/pair_h48__clf_xgbc01__reg_xgbr01_f01_stage1_classifier.joblib,results/run_20260418_235229/models/pair_h48__clf_xgbc01__reg_xgbr01_f01_stage2_regressor.joblib,55.79685255658848,55.357981107926555,121.06865518430367,20.414170353003893,125.95828060836358,58.03736912483677,0.9032270713601531,0.8275743930317627,0.11711703254900505,0.38402970590458835,0.831002331002331,0.5941666666666666,0.6929057337220602,2639,145,487,713,257317,1200,219.0492077960399,65.2722101811568,False
h48__clf_xgbc01__reg_xgbr01,48,2,xgb_classifier,"{""n_estimators"": 150, ""learning_rate"": 0.08, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",xgb_regressor,"{""n_estimators"": 200, ""learning_rate"": 0.06, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",results/run_20260418_235229/models/pair_h48__clf_xgbc01__reg_xgbr01_f02_two_stage.joblib,results/run_20260418_235229/models/pair_h48__clf_xgbc01__reg_xgbr01_f02_stage1_classifier.joblib,results/run_20260418_235229/models/pair_h48__clf_xgbc01__reg_xgbr01_f02_stage2_regressor.joblib,64.36110111066742,64.56307361267298,166.59147669104823,30.054697688463254,195.502004812079,70.48821561534488,0.8609609363569861,0.8055903280378911,0.1328481792845133,0.41789466666151065,0.7016317016317016,0.7224,0.711864406779661,2350,384,347,903,275398,1250,295.8674604138211,91.36814694633483,False
h48__clf_logen01__reg_xgbr01,48,2,logistic_enet,"{""C"": 0.5, ""l1_ratio"": 0.15, ""class_weight"": ""balanced"", ""max_iter"": 250}",xgb_regressor,"{""n_estimators"": 200, ""learning_rate"": 0.06, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",results/run_20260418_235229/models/pair_h48__clf_logen01__reg_xgbr01_f02_two_stage.joblib,results/run_20260418_235229/models/pair_h48__clf_logen01__reg_xgbr01_f02_stage1_classifier.joblib,results/run_20260418_235229/models/pair_h48__clf_logen01__reg_xgbr01_f02_stage2_regressor.joblib,64.63543359283916,64.66867470601107,166.0519383782251,30.665319728089965,195.502004812079,70.48821561534488,0.8475683979517191,0.7785556235201839,0.15881354165348588,0.47931214105905195,0.6244131455399061,0.7448,0.6793141189346954,2174,560,319,931,275398,1250,295.8674604138211,91.36814694633483,False
h48__clf_xgbc01__reg_enet01,48,2,xgb_classifier,"{""n_estimators"": 150, ""learning_rate"": 0.08, ""max_depth"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""min_child_weight"": 6, ""reg_alpha"": 0.0, ""reg_lambda"": 1.5, ""early_stopping_rounds"": 15}",elasticnet_regression,"{""alpha"": 0.0005, ""l1_ratio"": 0.1, ""max_iter"": 4000}",results/run_20260418_235229/models/pair_h48__clf_xgbc01__reg_enet01_f02_two_stage.joblib,results/run_20260418_235229/models/pair_h48__clf_xgbc01__reg_enet01_f02_stage1_classifier.joblib,results/run_20260418_235229/models/pair_h48__clf_xgbc01__reg_enet01_f02_stage2_regressor.joblib,88.45897099073866,90.11772013361454,331.6639156296379,55.85399774848908,195.502004812079,70.48821561534488,0.8609609363569861,0.8055903280378911,0.1328481792845133,0.41789466666151065,0.7016317016317016,0.7224,0.711864406779661,2350,384,347,903,275398,1250,610.1910824723662,176.5211984243525,False
h48__clf_logen01__reg_enet01,48,2,logistic_enet,"{""C"": 0.5, ""l1_ratio"": 0.15, ""class_weight"": ""balanced"", ""max_iter"": 250}",elasticnet_regression,"{""alpha"": 0.0005, ""l1_ratio"": 0.1, ""max_iter"": 4000}",results/run_20260418_235229/models/pair_h48__clf_logen01__reg_enet01_f02_two_stage.joblib,results/run_20260418_235229/models/pair_h48__clf_logen01__reg_enet01_f02_stage1_classifier.joblib,results/run_20260418_235229/models/pair_h48__clf_logen01__reg_enet01_f02_stage2_regressor.joblib,90.39440397040977,90.25727298151774,341.981930523202,58.034392805223995,195.502004812079,70.48821561534488,0.8475683979517191,0.7785556235201839,0.15881354165348588,0.47931214105905195,0.6244131455399061,0.7448,0.6793141189346954,2174,560,319,931,275398,1250,610.1910824723662,176.5211984243525,False
